Date,Task,Duration (min),Notes,Activity Type
"Friday, August 25, 2023",Brainstorm potential project,60,Brain storm ideas for the project.,Design
"Friday, August 25, 2023",Orientation,75,,Other
"Saturday, August 26, 2023",Brainstorm potential project,90,Continued brain storming project ideas.,Design
"Saturday, August 26, 2023",MERN stack tutorial,150,"Explored MERN stack, which may be used for the project.",Research/training/learning
"Sunday, August 27, 2023",MERN stack tutorial,120,"Continued with the tutorial, which will be used for the project",Research/training/learning
"Sunday, August 27, 2023",Shortlist and finalize  potential projects,90,Finalized ideas,Design
"Monday, August 28, 2023",Draft responses for the proposal,90,First draft.,Design
"Monday, August 28, 2023",Review the Project Proposal form,15,Reviewed and copied prompts so that drafts can be done before the submission.,Design
"Tuesday, August 29, 2023",Reviewed  and edited responses for the proposal,90,Discarded sections of responses.,Design
"Thursday, August 31, 2023",Final review and proposal submission.,30,Final review and additional edits for the submission.,Design
"Friday, September 1, 2023",MERN stack tutorial,60,-,Research/training/learning
"Sunday, September 3, 2023",MERN stack tutorial,240,Continued with the tutorial. A significant amount of time was spent downloading and installing packages to setup a temporary development machine. (Issue with the primary machine.),Research/training/learning
"Monday, September 4, 2023",Researched examples of Project Proposal,90,Researched online material. Made notes to follow up with the instructors.,Research/training/learning
"Monday, September 4, 2023",MERN stack tutorial,90,Spent significant time to troubleshoot the code.,Research/training/learning
"Tuesday, September 5, 2023",Office hour with Professor Lapid,45,Followed up on questions regarding deliverables.,Other
"Tuesday, September 5, 2023",Reorganize notes,30,Reorganized and edited  notes from the office hour.,Research/training/learning
"Tuesday, September 5, 2023",Wireframe – brainstorm,60,Brain storm ideas on potential wireframe on paper. Researched sites for ideas.,Design
"Wednesday, September 6, 2023",Reading – Informal Guidebook,30,Went through the 4900 Informal Guidebook,Other
"Wednesday, September 6, 2023",Wireframe – brainstorm,60,Continue brain storming ideas. Finalize the ideas to be transferred to the digital version.,Design
"Wednesday, September 6, 2023",Researched NoSQL vs relational DB,60,Debating between MongoDB (NoSQL) or PostgreSQL. Will follow up with the supervisor.,Research/training/learning
"Friday, September 8, 2023",Learn React,180,CTP session + lab assignment.,Research/training/learning
"Sunday, September 10, 2023",Wireframe – draw digital version,150,Drew wireframes via KolourPaint.,Research/training/learning
"Sunday, September 10, 2023",Sitemap,60,Experimented with LibreOffice Draw but settled on Google Drawings.,Design
"Sunday, September 10, 2023",Create user flowchart,120,Researched online examples. Used Google Drawings.,Design
"Sunday, September 10, 2023",ERD for the database,150,"Tried two utilities and settled on the ERD diagram tool from MySQL Workbench. Also, unable to get FK to appear on linked tables.",Design
"Monday, September 11, 2023",Created tentative schedule.,45,For the design document.,Other
"Monday, September 11, 2023",Create/revised/upload Design Document,60,-,Other
"Monday, September 11, 2023",Began reviewing the next deliverable.,30,Done via BB. Documented follow up questions for office hour.,Research/training/learning
"Monday, September 11, 2023",Reached out to teammate to schedule a meeting.,15,-,"Team discussion, emails"
"Tuesday, September 12, 2023",Office hour with Professor Lapid,60,Met with Professor Lapid regarding Demo-1.,Research/training/learning
"Tuesday, September 12, 2023",Meeting with teammate,30,Touched base about the project,"Team discussion, emails"
"Wednesday, September 13, 2023",Met with CTP TA regarding DB,30,Followed up about DB choice.,Other
"Thursday, September 14, 2023",Create GitHub Repo and Commit,120,Spent time troubleshooting git push from client. Look over docs to generate token.,Testing & Debugging
"Friday, September 15, 2023",Learn React,120,Lecture via CTP,Research/training/learning
"Friday, September 15, 2023",Touch base with supervisor,15,Followed up regarding proposal. Received feedback. Followed up with questions.,"Supervisor discussion, emails"
"Saturday, September 16, 2023",Draft material for demo-1. Rehearse for presentation.,150,Began drafting the material for the video. Timed and rehearsed the presentation.,Design
"Sunday, September 17, 2023",Create README.md,30,Did a quick overview of markdown as well.,Design
"Sunday, September 17, 2023",Work on PM board,60,Created and worked on PM board. Began populating with tentative tasks.,Design
"Sunday, September 17, 2023",Revised Demo-1 slides and script. Rehearsed for demo.,120,Issue with video recording. Experimented with Gnome built-in recorder. Ran into roadblocks. Unable to record via Linux Zoom.,Design
"Sunday, September 17, 2023",Record video,30,Done via PowerPoint. Video appears fine under G-Drive and Windows Media Player. Issue with VLC Player (Wins) during playback. (Slide transition resulted in hiccups.),Design
"Monday, September 18, 2023","Revised ERD, sitemap, README",45,"- Deleted Library table. Edited relationships. Figured out the way to add foreign key.
- Revised sitemap.
- Minor README revision.",Design
"Monday, September 18, 2023",Demo-1,30,Presentation and feedback.,Other
"Monday, September 18, 2023",Reorganize notes from Demo-1,15,Documented the feedback. Added notes on suggestions on the password reset feature.,Other
"Monday, September 18, 2023",Test Git push,15,Tested Git push because local files and dev environment were transferred to another machine.,Testing & Debugging
"Tuesday, September 19, 2023",Touch base with supervisor,15,Reviewed and documented the feedback on database. Followed up regarding teammate status from CTP.,"Supervisor discussion, emails"
"Wednesday, September 20, 2023",Learn React,60,Went over the previous CTP video lecture. Worked with the weekly assignment.,Research/training/learning
"Thursday, September 21, 2023",Touch base with supervisor,0,"Followed up to confirm workload, which relates to the status with tentative teammate.","Supervisor discussion, emails"
"Thursday, September 21, 2023",Learn React,180,Continue going over previous CTP video lecture on React. Completed React assignment.,Research/training/learning
"Friday, September 22, 2023",CTP Lecture / Learn React,150,-,Research/training/learning
"Friday, September 22, 2023",Touch base with supervisor,15,Followed up regarding teammate status. Team is officially 1. No change in workload at this time.,"Supervisor discussion, emails"
"Friday, September 22, 2023",Install & troubleshoot PostGreSQL,60,Unable to login with default account and password. Attempted to reset the password without success.,Testing & Debugging
"Saturday, September 23, 2023",Resolve PostGreSQL installation issue. PERN stack tutorial,120,Took ownership of the program folder to delete remaining files. Reinstalleod PostGreSQL. Began PERN stack tutorial.,Testing & Debugging
"Sunday, September 24, 2023",PERN stack tutorial,60,Continued PERN stack tutorial.,Research/training/learning
"Sunday, September 24, 2023",PostgreSQL SQL shell walkthrough,120,"Tutorial of PostgresSQL - SQL shell, which included practice on SQL commands.",Research/training/learning
"Tuesday, September 26, 2023",JSON Web Token Tutorial,150,Learned JWT and how it can be implemented.,Research/training/learning
"Wednesday, September 27, 2023",JSON Web Token Tutorial,210,Continue learning about JWT. Experimented with tutorial.,Research/training/learning
"Friday, September 29, 2023",PostgreSQL SQL – Recreate schema + translate into SQL script,210,Used pgAdmin 4 ? ERD Tool to create refined schema. Created enum type for flashcard set view. Generated SQL script but was unable to execute without error. Attempted to troubleshoot without success.,Testing & Debugging
"Saturday, September 30, 2023",Create database tables,120,Used the generated SQL script and manually created tables on individual basis. Did not realize that double quotes forces all select and insert to be double quoted. Will have to remove all tables and recreate them.,Coding
"Sunday, October 1, 2023",Delete existing tables and revise SQL script,90,"Deleted all existing tables and revised existing scripts. Looked up information pertaining to UUID and installed the required module, which will be used for primary keys.",Testing & Debugging
"Monday, October 2, 2023",Continue SQL script revision,60,"Continue revising SQL script to create tables. Also, looked up SQL queries to add foreign keys.",Testing & Debugging
"Tuesday, October 3, 2023",Continue SQL script revision,60,"Continued SQL revision to create tables. Succeeded in creating 2 tables but failed on the 3rd due to constraint issue:
ERROR:  there is no unique constraint matching given keys for referenced table ""vflashcard_set""
Unable to find a resolution.",Testing & Debugging
"Tuesday, October 3, 2023",Begin working on the app’s backend,60,-,Coding
"Wednesday, October 4, 2023",DB question with CTP TA.,60,"Followed up on constraint issue with the 3rd table, questions on whether UUID should be used for other primary keys.",Other
"Thursday, October 5, 2023",Learn React,90,Collaborated with CTP teammate on lab with focus on React.,Coding
"Thursday, October 5, 2023",Continue working on app’s backend,180,"Attempted to troubleshoot the signup route without success. Issue with post request with req.body, which returns nothing.",Testing & Debugging
